"full_name","num_of_brands","brand_diversity_status"
"Aimee Brown","12","Low Diversity"
"Al Bell","14","Low Diversity"
"Al Weaver","18","Low Diversity"
"Alan Augustus","56","High Diversity"
"Alan Blanton","46","Medium Diversity"
"Alan Bradley","24","Medium Diversity"
"Alan Daniels","9","Low Diversity"
"Alan Hitchcock","17","Low Diversity"
"Alan Jordan","19","Low Diversity"
"Alan Monitor","5","Low Diversity"
"Alana Petrick","12","Low Diversity"
"Alanna Hicks","14","Low Diversity"
"Albert Asmus","15","Low Diversity"
"Albert Behnke","8","Low Diversity"
"Albert Clouse","19","Low Diversity"
"Albert Hubert","34","Medium Diversity"
"Albert Jasdzewski","2","Low Diversity"
"Albert Risley","13","Low Diversity"
"Albert Saver","26","Medium Diversity"
"Albert Sullivan","15","Low Diversity"
"Albert Thomas","21","Medium Diversity"
"Albert Van Antwerp","4","Low Diversity"
"Albert Wilcox","60","High Diversity"
"Alberto Baltazar","5","Low Diversity"
"Alberto Quintiles","18","Low Diversity"
"Aldeen Gallagher","17","Low Diversity"
"Aleah Elmore","69","High Diversity"
"Aleah Ruybalid","53","High Diversity"
"Alena Burton","8","Low Diversity"
"Alesia Aiello","13","Low Diversity"
"Alex Hoaher","8","Low Diversity"
"Alex Smith","16","Low Diversity"
"Alex Urioste","23","Medium Diversity"
"Alexander Berger","10","Low Diversity"
"Alexander Calligan","21","Medium Diversity"
"Alexander Case","56","High Diversity"
"Alexander Deborde","12","Low Diversity"
"Alexander Stewart","13","Low Diversity"
"Alexandra Burton","39","Medium Diversity"
"Alexandra Gibson","34","Medium Diversity"
"Alexandra Meyer","29","Medium Diversity"
"Alexandra Wellington","9","Low Diversity"
"Alexandro Mattson","19","Low Diversity"
"Alexis Mills","22","Medium Diversity"
"Alexis Vukelich","21","Medium Diversity"
"Alexzandra Brice","11","Low Diversity"
"Alfonso Gutierrez","21","Medium Diversity"
"Alfred Bulman","5","Low Diversity"
"Alfred Gladhdish","47","Medium Diversity"
"Alfred Redman","14","Low Diversity"
"Alfred Romero","14","Low Diversity"
"Alfred Taylor","17","Low Diversity"
"Alfred Thayer","18","Low Diversity"
"Alfredo Wood","8","Low Diversity"
"Alice Archuletta","34","Medium Diversity"
"Alice Berry","33","Medium Diversity"
"Alice Biondolillo","9","Low Diversity"
"Alice Cantrell","13","Low Diversity"
"Alice Castro","34","Medium Diversity"
"Alice Cochran","21","Medium Diversity"
"Alice Hansen","50","High Diversity"
"Alice Hurt","37","Medium Diversity"
"Alice Kesterson","27","Medium Diversity"
"Alice Newsome","26","Medium Diversity"
"Alice Nicholson","61","High Diversity"
"Alice Randall","12","Low Diversity"
"Alice Salazar","24","Medium Diversity"
"Alice Serventi","13","Low Diversity"
"Alice Shintani","4","Low Diversity"
"Alice Shipley","19","Low Diversity"
"Alice Smith","10","Low Diversity"
"Alice Steen","28","Medium Diversity"
"Alice Stewart","18","Low Diversity"
"Alice Swanson","4","Low Diversity"
"Alice Valentine","2","Low Diversity"
"Alice Vellos","24","Medium Diversity"
"Alice William","54","High Diversity"
"Alice Worster","22","Medium Diversity"
"Alice Zachery","19","Low Diversity"
"Alicia Argo","8","Low Diversity"
"Alicia Brown","24","Medium Diversity"
"Alisha Burr","10","Low Diversity"
"Allan Marchman","60","High Diversity"
"Allen Berick","44","Medium Diversity"
"Allen Brewer","6","Low Diversity"
"Allen Burnside","7","Low Diversity"
"Allen Dutton","16","Low Diversity"
"Allen Holm","15","Low Diversity"
"Allen Skinner","7","Low Diversity"
"Allisa Rose","4","Low Diversity"
"Allison Baker","7","Low Diversity"
"Allison Beutel","20","Medium Diversity"
"Allison Degraaf","5","Low Diversity"
"Allison Ehrens","12","Low Diversity"
"Allison Jacobs","45","Medium Diversity"
"Allison Ross","43","Medium Diversity"
"Alma Adams","6","Low Diversity"
"Alma Anderson","53","High Diversity"
"Alma Bradbrook","23","Medium Diversity"
"Alma Falcon","60","High Diversity"
"Alma Poorbaugh","33","Medium Diversity"
"Alma Shelton","8","Low Diversity"
"Alma Son","22","Medium Diversity"
"Alma Steffen","22","Medium Diversity"
"Alphonse Hammer","7","Low Diversity"
"Alsy Morrow","11","Low Diversity"
"Alvin Maddalena","12","Low Diversity"
"Alvin Simpson","8","Low Diversity"
"Alvin Smith","24","Medium Diversity"
"Amalia Jorgenson","46","Medium Diversity"
"Amalie Wharton","36","Medium Diversity"
"Amanda Adler","26","Medium Diversity"
"Amanda Bird","6","Low Diversity"
"Amanda Bowman","2","Low Diversity"
"Amanda Debelak","16","Low Diversity"
"Amanda Maegoldo","10","Low Diversity"
"Amanda Mattice","48","Medium Diversity"
"Amanda Mcintire","39","Medium Diversity"
"Amanda Svee","21","Medium Diversity"
"Amanda Tucker","3","Low Diversity"
"Amanda Williams","39","Medium Diversity"
"Amato Kosanovich","14","Low Diversity"
"Amber Barley","4","Low Diversity"
"Amber Beckman","22","Medium Diversity"
"Amber East","17","Low Diversity"
"Amber Pratt","22","Medium Diversity"
"Amber Salazar","19","Low Diversity"
"Amber Tegegne","11","Low Diversity"
"Amelia Montano","27","Medium Diversity"
"Amir Netz","14","Low Diversity"
"Amir Oss","5","Low Diversity"
"Amy Adams","5","Low Diversity"
"Amy Black","11","Low Diversity"
"Amy Bleakley","18","Low Diversity"
"Amy Bolte","59","High Diversity"
"Amy Castandeda","5","Low Diversity"
"Amy Consentino","7","Low Diversity"
"Amy Hensley","10","Low Diversity"
"Amy Petranoff","31","Medium Diversity"
"Amy Taurman","14","Low Diversity"
"Amy Thatcher","21","Medium Diversity"
"Amy Valenzuela","20","Medium Diversity"
"Amy Vogel","17","Low Diversity"
"Amy Wood","17","Low Diversity"
"Amy Wopperer","19","Low Diversity"
"Ana-Marie Tobin","5","Low Diversity"
"Ana Bowie","6","Low Diversity"
"Ana Carrington","23","Medium Diversity"
"Ana Medina","16","Low Diversity"
"Ana Novas","21","Medium Diversity"
"Ana Piserchio","21","Medium Diversity"
"Ana Quick","20","Medium Diversity"
"Ana Wristen","6","Low Diversity"
"Anamaria Sander","16","Low Diversity"
"Anamarie Chew","26","Medium Diversity"
"Anastacio Butcher","9","Low Diversity"
"Anatole Sisk","30","Medium Diversity"
"Andre De Herrera","13","Low Diversity"
"Andre Downing","29","Medium Diversity"
"Andre Thompson","8","Low Diversity"
"Andrea Bressler","15","Low Diversity"
"Andrea Donlon","3","Low Diversity"
"Andrea Friesuer","17","Low Diversity"
"Andrea Sanchez","22","Medium Diversity"
"Andrea Shafer","16","Low Diversity"
"Andres Brewer","9","Low Diversity"
"Andrew Azcarate","26","Medium Diversity"
"Andrew Bell","65","High Diversity"
"Andrew Beller","28","Medium Diversity"
"Andrew Bonifacio","25","Medium Diversity"
"Andrew Budd","49","Medium Diversity"
"Andrew Garcia","9","Low Diversity"
"Andrew Gerlock","9","Low Diversity"
"Andrew Grosvenor","20","Medium Diversity"
"Andrew Hesslink","16","Low Diversity"
"Andrew Howley","2","Low Diversity"
"Andrew Kosley","15","Low Diversity"
"Andrew McCurry","29","Medium Diversity"
"Andrew Morales","4","Low Diversity"
"Andrew Passig","10","Low Diversity"
"Andrew Radford","13","Low Diversity"
"Andrew Starr","27","Medium Diversity"
"Andrew Stetler","6","Low Diversity"
"Andrew Stewart","37","Medium Diversity"
"Andrew Stronz","34","Medium Diversity"
"Andrew Swift","29","Medium Diversity"
"Andrew Thompson","20","Medium Diversity"
"Andrew Yates","2","Low Diversity"
"Andro Son","17","Low Diversity"
"Andy Schilleroff","36","Medium Diversity"
"Andy Toot","21","Medium Diversity"
"Angel Arevalo","23","Medium Diversity"
"Angel Forsythe","45","Medium Diversity"
"Angela Bauer","4","Low Diversity"
"Angela Cottle","8","Low Diversity"
"Angela Dalsaso","12","Low Diversity"
"Angela Evans","18","Low Diversity"
"Angela Garcia","44","Medium Diversity"
"Angela Hutchinson","8","Low Diversity"
"Angela Jackson","8","Low Diversity"
"Angela Jiminez","13","Low Diversity"
"Angela Monninger","20","Medium Diversity"
"Angela Preece","11","Low Diversity"
"Angela Watkins","7","Low Diversity"
"Angela Whelchel","58","High Diversity"
"Angelica Murray","14","Low Diversity"
"Angelina Cleland","12","Low Diversity"
"Angelina Mcdonald","23","Medium Diversity"
"Angelina Pabrislo","67","High Diversity"
"Angelina Supernaw","16","Low Diversity"
"Angelita Gibbs","5","Low Diversity"
"Angella Carrasco","15","Low Diversity"
"Angie Mccurry","16","Low Diversity"
"Angie Williams","15","Low Diversity"
"Anita Balchuck","3","Low Diversity"
"Anita Barton","12","Low Diversity"
"Anita Campbell","24","Medium Diversity"
"Anita Carrier","25","Medium Diversity"
"Anita Greer","26","Medium Diversity"
"Anita Higbee","21","Medium Diversity"
"Anita Kochis","52","High Diversity"
"Anita Lucero","47","Medium Diversity"
"Anita Quesada","12","Low Diversity"
"Anita Stoddard","17","Low Diversity"
"Anita Torres","35","Medium Diversity"
"Anju Bokinskie","15","Low Diversity"
"Ann-christine Sutton","12","Low Diversity"
"Ann Alconcher","19","Low Diversity"
"Ann Bagley","9","Low Diversity"
"Ann Barr","34","Medium Diversity"
"Ann Blomster","31","Medium Diversity"
"Ann Breaux","22","Medium Diversity"
"Ann Bryans","16","Low Diversity"
"Ann Burkamp","42","Medium Diversity"
"Ann Coke","4","Low Diversity"
"Ann Deborde","43","Medium Diversity"
"Ann Duvalle","19","Low Diversity"
"Ann Gaines","11","Low Diversity"
"Ann Gaya","8","Low Diversity"
"Ann Giannetto","7","Low Diversity"
"Ann Goldblatt","25","Medium Diversity"
"Ann Hass","5","Low Diversity"
"Ann Henry","31","Medium Diversity"
"Ann Howard","51","High Diversity"
"Ann Jourdenais","6","Low Diversity"
"Ann Komma","23","Medium Diversity"
"Ann Lowe","16","Low Diversity"
"Ann Miner","55","High Diversity"
"Ann Morreale","11","Low Diversity"
"Ann Paz","27","Medium Diversity"
"Ann Pearce","21","Medium Diversity"
"Ann Perez","38","Medium Diversity"
"Ann Shaw","5","Low Diversity"
"Ann Simmons","27","Medium Diversity"
"Ann Smith","51","High Diversity"
"Ann Srock","11","Low Diversity"
"Ann Talich","9","Low Diversity"
"Ann Tibbs","23","Medium Diversity"
"Ann Toke","16","Low Diversity"
"Ann Valdez","49","Medium Diversity"
"Ann Westover","5","Low Diversity"
"Ann Weyerhaeuser","6","Low Diversity"
"Ann Yeater","14","Low Diversity"
"Ann Yen","5","Low Diversity"
"Anna-lee Pope","32","Medium Diversity"
"Anna Ackerman","40","Medium Diversity"
"Anna Albright","4","Low Diversity"
"Anna Ames","10","Low Diversity"
"Anna Britton","17","Low Diversity"
"Anna Bulman","6","Low Diversity"
"Anna Casados","44","Medium Diversity"
"Anna Cornett","19","Low Diversity"
"Anna Creager","2","Low Diversity"
"Anna Evans","20","Medium Diversity"
"Anna Frongillo","51","High Diversity"
"Anna Gaffney","49","Medium Diversity"
"Anna Hill","14","Low Diversity"
"Anna Maria Moch","20","Medium Diversity"
"Anna McMillian","12","Low Diversity"
"Anna Richardson","13","Low Diversity"
"Anna Sarber","11","Low Diversity"
"Anna Stephens","15","Low Diversity"
"Anna Townsend","18","Low Diversity"
"Anna Winder","10","Low Diversity"
"Anna Wurick","10","Low Diversity"
"Annabelle Valencia","38","Medium Diversity"
"Annamarie Baldwin","6","Low Diversity"
"Anne-Marie Wood","14","Low Diversity"
"Anne Allard","76","High Diversity"
"Anne Arnold","49","Medium Diversity"
"Anne Conduff","9","Low Diversity"
"Anne Farley","41","Medium Diversity"
"Anne Lowe","66","High Diversity"
"Anne Manolis","19","Low Diversity"
"Anne Marie Waggoner","12","Low Diversity"
"Anne Marks","13","Low Diversity"
"Anne McClelland","15","Low Diversity"
"Anne Mercurio","2","Low Diversity"
"Anne Seevers","12","Low Diversity"
"Anne Silva","23","Medium Diversity"
"Anne Sims","8","Low Diversity"
"Anne Speakman","45","Medium Diversity"
"Anne Tracey","22","Medium Diversity"
"Anne Tuck","16","Low Diversity"
"Anne Vicknair","22","Medium Diversity"
"Anne Walker","29","Medium Diversity"
"Anne Westmacott","4","Low Diversity"
"Annemarie Riccillo","5","Low Diversity"
"Annette Matthews","11","Low Diversity"
"Annette Todd","26","Medium Diversity"
"Annette Von Strahl","44","Medium Diversity"
"Annette Woodward","25","Medium Diversity"
"Annmarie Hill","24","Medium Diversity"
"Antamine Veregas","12","Low Diversity"
"Anthony Armour","12","Low Diversity"
"Anthony Baldwin","34","Medium Diversity"
"Anthony Ball","10","Low Diversity"
"Anthony Barnes","5","Low Diversity"
"Anthony Barr","10","Low Diversity"
"Anthony Bauer","6","Low Diversity"
"Anthony Bolio","16","Low Diversity"
"Anthony Braver","46","Medium Diversity"
"Anthony Byrd","9","Low Diversity"
"Anthony Domenico","13","Low Diversity"
"Anthony Fenton","16","Low Diversity"
"Anthony Ghysels","36","Medium Diversity"
"Anthony Johnston","15","Low Diversity"
"Anthony Modlish","13","Low Diversity"
"Anthony Planck","20","Medium Diversity"
"Anthony Power","16","Low Diversity"
"Anthony Smith","20","Medium Diversity"
"Anthony Stafford","27","Medium Diversity"
"Anthony Styles","3","Low Diversity"
"Anthony Wiggins","36","Medium Diversity"
"Anthony Williams","22","Medium Diversity"
"Antoinette Anderson","4","Low Diversity"
"Antoinette Tackett","22","Medium Diversity"
"Antoinette Zocchi","5","Low Diversity"
"Antone Caldwell","35","Medium Diversity"
"Antonia Eads","11","Low Diversity"
"Antonio Bonilla","2","Low Diversity"
"Antonio Koltay","4","Low Diversity"
"Antonio Nolte","3","Low Diversity"
"April Bell","22","Medium Diversity"
"April Blackwood","50","High Diversity"
"April Cameron","7","Low Diversity"
"April Gleason","13","Low Diversity"
"April Latham","3","Low Diversity"
"April McLallen","23","Medium Diversity"
"April Mermis","7","Low Diversity"
"Arabelle Gardner","28","Medium Diversity"
"Aranda Bussell","51","High Diversity"
"Arden Bowen","18","Low Diversity"
"Arden Gonzales","17","Low Diversity"
"Arden Tutor","15","Low Diversity"
"Ari Tweten","16","Low Diversity"
"Ariana Miles","44","Medium Diversity"
"Ariel Netz","16","Low Diversity"
"Ariel Salka","12","Low Diversity"
"Arjeet Ashley","54","High Diversity"
"Arleah Cabezzas","44","Medium Diversity"
"Arlen Pearce","4","Low Diversity"
"Arlene Brown","11","Low Diversity"
"Arlene Leon","17","Low Diversity"
"Arlene Mizer","7","Low Diversity"
"Arlene Randolph","7","Low Diversity"
"Arlene Schimanski","18","Low Diversity"
"Arlene Sinnamon","4","Low Diversity"
"Arline Walker","15","Low Diversity"
"Arline Wiegeric","66","High Diversity"
"Arlis (Billie) MacDougal","20","Medium Diversity"
"Arnold Cole","26","Medium Diversity"
"Arnold Sears","21","Medium Diversity"
"Art Cox","12","Low Diversity"
"Arthenia Cabling","56","High Diversity"
"Arthur Bohn","14","Low Diversity"
"Arthur Deubel","6","Low Diversity"
"Arthur Haas","40","Medium Diversity"
"Arthur Hathaway","23","Medium Diversity"
"Arthur Kish","4","Low Diversity"
"Arthur Snow","38","Medium Diversity"
"Arthur Stopp","15","Low Diversity"
"Arthur Taborga","12","Low Diversity"
"Arthur Trout","10","Low Diversity"
"Arthur Vanier","9","Low Diversity"
"Arthur Vasquez","11","Low Diversity"
"Arthur Verdugo","57","High Diversity"
"Arthur Ward","10","Low Diversity"
"Arturo Poisson","43","Medium Diversity"
"Arvid Duran","30","Medium Diversity"
"Ashley Bielawski","10","Low Diversity"
"Ashley Mitchell","7","Low Diversity"
"Ashley Noll","37","Medium Diversity"
"Ashley Pierson","15","Low Diversity"
"Ashley Shinn","19","Low Diversity"
"Ashley Whalley","19","Low Diversity"
"Ashley Witt","15","Low Diversity"
"Ashlie Patton","62","High Diversity"
"Ashvini Sharama","12","Low Diversity"
"Atallah Todd","23","Medium Diversity"
"Aubrey Wall","55","High Diversity"
"Aubri Booth","14","Low Diversity"
"Audie Rincon","3","Low Diversity"
"Audrene Sweeney","23","Medium Diversity"
"Audrey Ahmadzai","8","Low Diversity"
"Audrey Bay","26","Medium Diversity"
"Audrey Carlos","15","Low Diversity"
"Audrey Fulghum","18","Low Diversity"
"Audrey Hoekman","12","Low Diversity"
"Audrey Jackson","8","Low Diversity"
"Audrey Osborn","15","Low Diversity"
"Audrey Stokes","33","Medium Diversity"
"Audrey Topping","15","Low Diversity"
"Audrey Wold","4","Low Diversity"
"August Isaacs","33","Medium Diversity"
"Aurelia Flynn","23","Medium Diversity"
"Aurelia Olguin","19","Low Diversity"
"Ava Hudson","16","Low Diversity"
"Avanelle Ciccone","19","Low Diversity"
"Avis Bouiler","9","Low Diversity"
"Ayanaa Maness","8","Low Diversity"
"Baha Kretz","5","Low Diversity"
"Baljeet Leyendecker","14","Low Diversity"
"Bambi Lyles","5","Low Diversity"
"Barbara Adams","32","Medium Diversity"
"Barbara Adkins","7","Low Diversity"
"Barbara Ann Phelps","17","Low Diversity"
"Barbara Appel","3","Low Diversity"
"Barbara Asuncion","4","Low Diversity"
"Barbara Barton","2","Low Diversity"
"Barbara Baustista","24","Medium Diversity"
"Barbara Beckman","27","Medium Diversity"
"Barbara Bellinchak","18","Low Diversity"
"Barbara Bennett","11","Low Diversity"
"Barbara Blackburn","46","Medium Diversity"
"Barbara Bowen","18","Low Diversity"
"Barbara Bradley","11","Low Diversity"
"Barbara Butcher","16","Low Diversity"
"Barbara Calone","41","Medium Diversity"
"Barbara Canonica","37","Medium Diversity"
"Barbara Carter","34","Medium Diversity"
"Barbara Chan","49","Medium Diversity"
"Barbara Cleary","11","Low Diversity"
"Barbara Combs","6","Low Diversity"
"Barbara Cope","52","High Diversity"
"Barbara Craig","4","Low Diversity"
"Barbara DAvignon","33","Medium Diversity"
"Barbara Doll","20","Medium Diversity"
"Barbara Duncan","11","Low Diversity"
"Barbara Gambrel","33","Medium Diversity"
"Barbara Gelabert","7","Low Diversity"
"Barbara Gramstoff","27","Medium Diversity"
"Barbara Hagen","5","Low Diversity"
"Barbara Hamilton","32","Medium Diversity"
"Barbara Hill","4","Low Diversity"
"Barbara Hilliard","7","Low Diversity"
"Barbara Kaplan","14","Low Diversity"
"Barbara Lamaak","4","Low Diversity"
"Barbara Landreth","6","Low Diversity"
"Barbara Lipscomb","51","High Diversity"
"Barbara Merrick","15","Low Diversity"
"Barbara Mohar","11","Low Diversity"
"Barbara Obaugh","60","High Diversity"
"Barbara Poston","14","Low Diversity"
"Barbara Prutch","9","Low Diversity"
"Barbara Ramey","68","High Diversity"
"Barbara Romero","29","Medium Diversity"
"Barbara Schmidt","44","Medium Diversity"
"Barbara Schultz","6","Low Diversity"
"Barbara Serventi","20","Medium Diversity"
"Barbara Shaw","35","Medium Diversity"
"Barbara Sipsy","7","Low Diversity"
"Barbara Smith","44","Medium Diversity"
"Barbara Sparks","21","Medium Diversity"
"Barbara Sponburg","12","Low Diversity"
"Barbara Stam","6","Low Diversity"
"Barbara Stone","13","Low Diversity"
"Barbara Thomas","22","Medium Diversity"
"Barbara Thompson","24","Medium Diversity"
"Barbara Thorne","11","Low Diversity"
"Barbara Towery","53","High Diversity"
"Barbara Travis","17","Low Diversity"
"Barbara Uyeda","15","Low Diversity"
"Barbara Velasquez","10","Low Diversity"
"Barbara Verdin","13","Low Diversity"
"Barbara Verdugo","13","Low Diversity"
"Barbara Wagner","28","Medium Diversity"
"Barbara Wallin","6","Low Diversity"
"Barbara Weller","7","Low Diversity"
"Barbara Westcott","2","Low Diversity"
"Barbara Williams","7","Low Diversity"
"Barbara Wisnewski","14","Low Diversity"
"Barbara Younce","21","Medium Diversity"
"Barbara Younge","10","Low Diversity"
"Barbra Adams","23","Medium Diversity"
"Barnett Barnette","25","Medium Diversity"
"Barrett Younkin","28","Medium Diversity"
"Barri Colvin","34","Medium Diversity"
"Barry Beninati","35","Medium Diversity"
"Barry Pritts","21","Medium Diversity"
"Barry Sherry","23","Medium Diversity"
"Barry Slominski","14","Low Diversity"
"Barry Tiller","29","Medium Diversity"
"Barton Barros","6","Low Diversity"
"Barton Rose","14","Low Diversity"
"Beata Hood","9","Low Diversity"
"Beath Hansford","24","Medium Diversity"
"Beatrice Barney","37","Medium Diversity"
"Beatrice Boggs","20","Medium Diversity"
"Beatrice Fenderbosch","37","Medium Diversity"
"Beatrice Heath","6","Low Diversity"
"Beatrice Lilley","20","Medium Diversity"
"Beatrice Verdugo","44","Medium Diversity"
"Beatrix Stevens","28","Medium Diversity"
"Becky Andres","18","Low Diversity"
"Becky Perez","57","High Diversity"
"Becky Waters","38","Medium Diversity"
"Belinda Arrowsmith","4","Low Diversity"
"Belinda Campello","27","Medium Diversity"
"Belinda Topping","44","Medium Diversity"
"Ben Blunt","17","Low Diversity"
"Ben Charles","17","Low Diversity"
"Ben McRae","3","Low Diversity"
"Bendt Tutt","9","Low Diversity"
"Benjamin Becker","33","Medium Diversity"
"Benjamin Boshnack","16","Low Diversity"
"Benjamin Morris","8","Low Diversity"
"Benjamin Senick","4","Low Diversity"
"Bennie King","30","Medium Diversity"
"Bennie Wenzel","2","Low Diversity"
"Benny Wilsey","16","Low Diversity"
"Bernadette Andersen","23","Medium Diversity"
"Bernadette Marschang","74","High Diversity"
"Bernadette Rosania","3","Low Diversity"
"Bernadette Wintermantel","12","Low Diversity"
"Bernadine Garrison","11","Low Diversity"
"Bernard Bogott","56","High Diversity"
"Bernard Bruner","29","Medium Diversity"
"Bernard Maestas","16","Low Diversity"
"Bernard Thompson","10","Low Diversity"
"Bernard Voerge","54","High Diversity"
"Bernell Barr","4","Low Diversity"
"Bernice Douglas","22","Medium Diversity"
"Bernice Hammonds","13","Low Diversity"
"Bernice Shelton","4","Low Diversity"
"Bernice Stenenson","44","Medium Diversity"
"Bernice Welch","9","Low Diversity"
"Bernie Johnson","37","Medium Diversity"
"Berniece Beltran","10","Low Diversity"
"Bertha Ciruli","16","Low Diversity"
"Bertha Colletti","30","Medium Diversity"
"Bertha Jameson","13","Low Diversity"
"Bertha Mae Ponce","32","Medium Diversity"
"Bertha Padilla","5","Low Diversity"
"Bertha Verhaus","18","Low Diversity"
"Bertha Wilcox","57","High Diversity"
"Bertie Cogburn","2","Low Diversity"
"Bertie Wherrett","6","Low Diversity"
"Bertil Bethurum","9","Low Diversity"
"Bertram Campos","5","Low Diversity"
"Bertram Klopfer","8","Low Diversity"
"Bessie Contreras","39","Medium Diversity"
"Bessie Shelton","20","Medium Diversity"
"Bessie Wilson","5","Low Diversity"
"Beth Carr","21","Medium Diversity"
"Beth Moore","16","Low Diversity"
"Beth Nichols","25","Medium Diversity"
"Beth Ohnheiser","76","High Diversity"
"Beth Stanley","21","Medium Diversity"
"Beth Waskey","8","Low Diversity"
"Bethany Bermudez","9","Low Diversity"
"Bethany Chappell","4","Low Diversity"
"Bethe Habern","27","Medium Diversity"
"Betsy Agee","2","Low Diversity"
"Betsy Chan","5","Low Diversity"
"Betsy McFadden","2","Low Diversity"
"Betsy Sallee","10","Low Diversity"
"Betsy Webb","43","Medium Diversity"
"Bette Peters","10","Low Diversity"
"Betti Smith","20","Medium Diversity"
"Bettie Allen","3","Low Diversity"
"Bettie Pooler","16","Low Diversity"
"Betty Anderson","9","Low Diversity"
"Betty Aragon","5","Low Diversity"
"Betty Avetisian","12","Low Diversity"
"Betty Bezner","7","Low Diversity"
"Betty Boggs","17","Low Diversity"
"Betty Bohannan","15","Low Diversity"
"Betty Bordenave","32","Medium Diversity"
"Betty Boshnack","14","Low Diversity"
"Betty Brekle","17","Low Diversity"
"Betty Bressler","23","Medium Diversity"
"Betty Cartwright","25","Medium Diversity"
"Betty Christmas","6","Low Diversity"
"Betty Collins","69","High Diversity"
"Betty Damore","15","Low Diversity"
"Betty Devalois","12","Low Diversity"
"Betty Driscoll","25","Medium Diversity"
"Betty Garretson","21","Medium Diversity"
"Betty Goble","33","Medium Diversity"
"Betty Groves","24","Medium Diversity"
"Betty Haines","18","Low Diversity"
"Betty Hensley","70","High Diversity"
"Betty Jo Hedgpeth","30","Medium Diversity"
"Betty Kiser","14","Low Diversity"
"Betty Kyle","4","Low Diversity"
"Betty Leach","20","Medium Diversity"
"Betty Lerner","9","Low Diversity"
"Betty Littrell","12","Low Diversity"
"Betty Lou Lunt","26","Medium Diversity"
"Betty Marco","39","Medium Diversity"
"Betty Marilee Cata","6","Low Diversity"
"Betty McMenama","23","Medium Diversity"
"Betty Mondragon","10","Low Diversity"
"Betty Morrison","23","Medium Diversity"
"Betty Nicholas","59","High Diversity"
"Betty Pacino","9","Low Diversity"
"Betty Potts","42","Medium Diversity"
"Betty Ramirez","13","Low Diversity"
"Betty Rivera","2","Low Diversity"
"Betty Rollins","52","High Diversity"
"Betty Setzer","4","Low Diversity"
"Betty Thompson","41","Medium Diversity"
"Betty Thorne","8","Low Diversity"
"Betty Tobias","26","Medium Diversity"
"Betty Tominello","11","Low Diversity"
"Betty Vigil","26","Medium Diversity"
"Betty Wilson","34","Medium Diversity"
"Betty Zittel","9","Low Diversity"
"Bettye Dykstra","7","Low Diversity"
"Bev Desalvo","22","Medium Diversity"
"Bev Hancock","36","Medium Diversity"
"Beverly Alexander","46","Medium Diversity"
"Beverly Avila","18","Low Diversity"
"Beverly Baker","30","Medium Diversity"
"Beverly Bonham","15","Low Diversity"
"Beverly Brush","17","Low Diversity"
"Beverly Bybee","16","Low Diversity"
"Beverly Cardoza","9","Low Diversity"
"Beverly Carrington","29","Medium Diversity"
"Beverly Christensen","44","Medium Diversity"
"Beverly Dittmar","16","Low Diversity"
"Beverly Glassman","17","Low Diversity"
"Beverly Lilly","71","High Diversity"
"Beverly Maher","4","Low Diversity"
"Beverly Morales","7","Low Diversity"
"Beverly Pearson","51","High Diversity"
"Beverly Pierce","5","Low Diversity"
"Beverly Purvey","5","Low Diversity"
"Beverly Stephenson","28","Medium Diversity"
